Date,Open,High,Low,Close,Adj Close,Volume
2024-08-01,510.0,514.02001953125,494.67999267578125,500.1199951171875,497.1786804199219,4006800
2024-08-02,491.1000061035156,494.4599914550781,467.2099914550781,470.6400146484375,467.8721008300781,6115500
2024-08-05,447.5899963378906,463.17999267578125,437.3699951171875,459.0199890136719,456.3204040527344,4177200
2024-08-06,461.010009765625,475.25,457.42999267578125,470.2200012207031,467.4545593261719,2209300
2024-08-07,479.3900146484375,488.54998779296875,472.57000732421875,473.010009765625,470.2281494140625,2587600
2024-08-08,477.8699951171875,487.7300109863281,477.1600036621094,485.7699890136719,482.9130859375,1936400
2024-08-09,485.0199890136719,492.0,482.20001220703125,490.260009765625,487.376708984375,1622700
2024-08-12,490.260009765625,492.8699951171875,483.75,485.5,482.6446838378906,1839300
2024-08-13,490.2900085449219,493.2699890136719,486.4700012207031,491.94000244140625,489.04681396484375,1243700
2024-08-14,492.8999938964844,499.3500061035156,488.3999938964844,498.70001220703125,495.7670593261719,1545600
2024-08-15,505.0,506.9100036621094,498.260009765625,499.0199890136719,496.08514404296875,1732300
2024-08-16,497.04998779296875,504.9100036621094,497.0,504.260009765625,501.29437255859375,1587000
2024-08-19,505.0,507.7799987792969,501.8599853515625,504.67999267578125,501.7118835449219,1027900
2024-08-20,503.8699951171875,504.1600036621094,496.5,497.3399963378906,494.4150390625,2122700
2024-08-21,499.5,500.7799987792969,494.0299987792969,496.4599914550781,493.54022216796875,917100
2024-08-22,497.0,499.70001220703125,494.7900085449219,497.75,494.8226318359375,943800
2024-08-23,502.75,512.4400024414062,499.8500061035156,509.4200134277344,506.42401123046875,1751800
2024-08-26,512.3400268554688,513.5,505.32000732421875,507.8699951171875,504.88311767578125,1084200
2024-08-27,507.8399963378906,511.4800109863281,506.5899963378906,507.260009765625,504.2767028808594,977900
2024-08-28,506.6000061035156,508.3699951171875,498.4700012207031,503.3299865722656,500.36981201171875,1568100
2024-08-29,506.0,513.239990234375,501.1400146484375,510.1000061035156,507.1000061035156,1566300
2024-08-30,507.8299865722656,511.19000244140625,505.1700134277344,510.25,510.25,1838900
2024-09-03,507.4700012207031,509.70001220703125,485.3999938964844,487.4599914550781,487.4599914550781,2373600
2024-09-04,486.70001220703125,496.20001220703125,486.70001220703125,490.6400146484375,490.6400146484375,1509400
2024-09-05,493.5799865722656,495.7699890136719,483.07000732421875,487.8800048828125,487.8800048828125,1828300
2024-09-06,486.6000061035156,495.4100036621094,477.05999755859375,479.6099853515625,479.6099853515625,1995600
2024-09-09,485.5299987792969,494.2799987792969,483.3900146484375,488.57000732421875,488.57000732421875,1714200
2024-09-10,489.1300048828125,489.20001220703125,461.57000732421875,467.1300048828125,467.1300048828125,3583100
2024-09-11,463.9800109863281,471.8900146484375,457.4800109863281,471.1700134277344,471.1700134277344,2426500
2024-09-12,471.29998779296875,474.3399963378906,465.3999938964844,474.05999755859375,474.05999755859375,1482200
2024-09-13,475.989990234375,482.1000061035156,475.5,478.989990234375,478.989990234375,1794500
2024-09-16,481.42999267578125,487.3800048828125,479.489990234375,485.1600036621094,485.1600036621094,1500300
2024-09-17,488.0,489.7300109863281,481.79998779296875,485.3900146484375,485.3900146484375,1444900
2024-09-18,485.3999938964844,492.989990234375,481.7699890136719,484.5799865722656,484.5799865722656,1699500
2024-09-19,494.739990234375,506.4100036621094,493.4599914550781,503.8299865722656,503.8299865722656,3060700
2024-09-20,500.19000244140625,502.04998779296875,495.4800109863281,498.42999267578125,498.42999267578125,4452600
2024-09-23,498.2099914550781,501.3999938964844,495.2200012207031,497.4100036621094,497.4100036621094,953200
2024-09-24,497.5899963378906,499.55999755859375,494.1000061035156,498.0199890136719,498.0199890136719,1035400
2024-09-25,498.5,502.0,490.3999938964844,491.1400146484375,491.1400146484375,1763900
2024-09-26,494.0,498.3999938964844,492.4800109863281,496.9200134277344,496.9200134277344,1378100
2024-09-27,498.9700012207031,505.3999938964844,495.8599853515625,498.510009765625,498.510009765625,1420100
